Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
"Wheelchair repair, modification & maintenance and rehabilitation engineering",Central and North West London NHS Foundation Trust,"Provision of a Repair, Modification and Maintenance of Wheelchairs Service & Rehabilitation Engineering Service

To express an interest in and bid for this opportunity please go to: 

https://health-family.force.com/s/Welcome",Opportunity,Open,Not Available,"28 November 2022, 12pm",London,1125000,1875000,27 October 2022,28 October 2022
Waste Collection Services - Core Dry Recycling,University of Bristol,"The University of Bristol requires consistent, reliable and uniform core dry recyclable materials collections at each of its sites across the city of Bristol and some outlying locations.

We will require collection and recycling of:
- paper
- cardboard
- tins, cans, plastics
- glass
- dry mixed recycling (DMR)

Full details are in the tender ...",Opportunity,Open,Not Available,"30 November 2022, 12pm",BS1 5DS,474000,Not Available,28 October 2022,Not Available
Residential and Nursing Pseudo DPS,Warrington Borough Council,"Residential and Nursing Care - establishment of a Pseudo Dynamic Purchasing System with the following lots:

1.	In-borough Residential (over 65s)
2.	In-borough Residential Dementia (over 65s)
3.	In-borough Nursing (over 65s)
4.	In-borough Nursing Dementia (over 65s)
5.	In-borough Dementia Plus (over 65s)
6.	Out of borough Residential (over 65s)
7....",Opportunity,Open,Not Available,"25 November 2022, 12pm",England,0,Not Available,28 October 2022,28 October 2022
Lewisham Adult Weight Management Services,London Borough of Lewisham,"Lewisham invites tender for Weight Managment services. Obesity is a growing problem in all regions of the UK and for both adults and children and as the prevalence of obesity in England increases, it has become a major public health concern due to its association with serious chronic diseases and related morbidly and mortality. Obesity is the ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,0,Not Available,28 October 2022,Not Available
Noise & environmental barriers - Request for Information ONLY,Highways England,"National Highways Strategic Procurement team are supporting the launch of the new Digital Product Catalogue for Noise and Environmental Barrier Products. As part of this process, we need your support to identify all the available products within the market for moderation and potential approval onto the Digital Product Catalogue (DPC).
As part of ...",Early engagement,Open,Not Available,28 November 2022,Any region,Not Available,Not Available,28 October 2022,Not Available
Neighbourhood Environmental Improvement Scheme - Whitehaven Drive,Unitas Stoke-on-Trent Ltd,"Unitas Stoke-on-Trent Ltd wishes to appoint a single contractor to install new palisade and bow top fencing and gates to numerous properties at Whitehaven Drive. 
The quotations will be evaluated based on price only and the works will be awarded to the lowest contractor.",Opportunity,Open,Not Available,"11 November 2022, 12pm",West Midlands,15000,Not Available,28 October 2022,Not Available
CP2232-22 Disposal and Collection of Local Authority Collected Healthcare Waste,Devon County Council,"Devon County Council as the Waste Disposal Authority works with the District Councils across Devon, who are the Waste Collection Authorities. As the Waste Disposal Authority, Devon County Council has the responsibility for the safe disposal of healthcare waste collected by the Waste Collection Authorities (District Councils) of Devon. The disposal...",Opportunity,Open,Not Available,"6 January 2023, 12pm",South West,300000,Not Available,28 October 2022,Not Available
BHE MCZ Acoustic Survey LOT 3,Natural England,"""Responses by email only:BHE MCZ was designated in 2019 under the MCAA (2009) and covers an area of 19,486.51 ha between Beachy Head lighthouse in the west and Haistings Pier in the east. The MCZ extends just beyond 6nm offshore. Since designation, it has been increasingly clear that, although evidence was sufficient to designate features within ...",Opportunity,Open,Not Available,"15 November 2022, 12pm",South East,1000,Not Available,28 October 2022,Not Available
BHE MCZ Acoustic Survey LOT 2,Natural England,"Responses by email only:BHE MCZ was designated in 2019 under the MCAA (2009) and covers an area of 19,486.51 ha between Beachy Head lighthouse in the west and Haistings Pier in the east. The MCZ extends just beyond 6nm offshore. Since designation, it has been increasingly clear that, although evidence was sufficient to designate features within the...",Opportunity,Open,Not Available,"15 November 2022, 12pm",South East,1000,Not Available,28 October 2022,Not Available
Window Replacement Project,HYTHE TOWN COUNCIL,"HYTHE TOWN COUNCIL                                                                                

NOTICE OF TENDER - Windows Replacement Project

Notice is hereby given that the Town Council as trustee of the Davis Oaklands Charitable Gift Trust intends to receive tenders in respect of the replacement Windows and associated works on the ...",Opportunity,Open,Not Available,"23 December 2022, 12am",CT21 6BG,54000,80000,28 October 2022,Not Available
BHE MCZ Acoustic Survey LOT 1,Natural England,"Responses by email only:BHE MCZ was designated in 2019 under the MCAA (2009) and covers an area of 19,486.51 ha between Beachy Head lighthouse in the west and Haistings Pier in the east. The MCZ extends just beyond 6nm offshore. Since designation, it has been increasingly clear that, although evidence was sufficient to designate features within the...",Opportunity,Open,Not Available,"15 November 2022, 12pm",South East,1000,Not Available,28 October 2022,Not Available
DRUGS OF ABUSE AND POINT OF CARE TESTING (10241),NHS Shared Business Services,"NHS Shared Business Services act in an Agency capacity for and on behalf of its customers (Approved Organisations) - existing and new. These comprise of NHS and Social Care organisations (whether acting individually, or on behalf of, or together as members of any consortia) along with any other public or private sector bodies which NHS SBS ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",United Kingdom,280000000,Not Available,28 October 2022,Not Available
The Provision of Asset Valuation Services,Huntingdonshire District Council,"Huntingdonshire District Council (HDC) wishes to appoint a professional and experienced supplier to provide expertise with its Asset Valuations.
Property valuations for the Council should be completed in accordance with the CIPFA/LASAAC Code of Practice on Local Authority Accounting ('the Code') and the Royal Institution of Chartered ...",Opportunity,Open,Not Available,"21 November 2022, 12pm",PE29 3TN,170000,200000,17 October 2022,28 October 2022
Minor Bodywork Repairs for Vehicles - A943,Swale Borough Council,"Swale Borough Council is undertaking a market consultation for minor bodywork repairs for company vehicles.

The contract will involve repairing small dents, scuffs and scratches as and when required.

The contractor must be based in Kent.

The contract duration will be two years. The council may extend the opportunity for a further two years.

For...",Early engagement,Open,Not Available,10 November 2022,ME10 3HT,Not Available,Not Available,28 October 2022,Not Available
Spencer Academies Trust ~ Cleaning Tender,Spencer Academies Trust,"The successful Supplier will be required to provide a comprehensive cleaning service, including daily term time and non-term time periodic cleaning, for Spencer Academies Trust.
      
      The Spencer Academies Trust is a high performance, regional multi-academy trust, whose Academies are situated within the East Midlands, predominantly ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",East Midlands,15000000,Not Available,28 October 2022,Not Available
HGV Road Traffic Collision Instructor (HGV/RTCi),Tyne and Wear Fire and Rescue Service (TWFRS),The primary objective of the Contract is to provide HGV Road Traffic Collision Instructor (HGV/RTCi) Training,Opportunity,Open,Not Available,"25 November 2022, 12pm",SR5 3QY,18000,20000,28 October 2022,Not Available
Framework for Creative Marketing Services,Liverpool John Moores University,"LJMU has an internal design studio, however there is a requirement to use external designers at busy times throughout the year.

Working within LJMU brand guidelines we wish to establish a Framework of Creative Agencies/External Designers (three Agencies in total).  

LJMU will require the Creative Agencies/ External Designers to:

• ...",Opportunity,Open,Not Available,"11 November 2022, 12pm",L2 2QP,10,96000,28 October 2022,Not Available
"Understanding and assessing potential impacts of recreational access on Lower Derwent Valley, Yorkshire",Natural England,"Natural England wishes to commission visitor surveys across the Lower Derwent Valley Habitat Sites. This will focus on all points of access, including informal access. In recent years Natural England has become increasingly concerned regarding the potential impacts of recreational disturbance on designated features of the Lower Derwent Valley and ...",Opportunity,Open,Not Available,"14 November 2022,  9am",Yorkshire and the Humber,10000,24999,28 October 2022,Not Available
NHSE892 Tranche 3 Cambridgeshire and Peterborough Sustainable Alternative Provider Medical Service (APMS) - Cathedral Medical Centre,North Of England Commissioning Support,"North of England Commissioning Support (NECS) is working for and on behalf of Cambridgeshire & Peterborough Integrated Care Board (The Contracting Authority) to commission Alternative Provider Medical Service (APMS) to be delivered to cover patient registered with Cathedral Medical Centre, Ely with a weighted patient list size 9679.20, and a ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",East of England,11290763,Not Available,28 October 2022,Not Available
Strategic Grant - Miscarriages of Justice (2023 - 2026),Ministry of Justice,"The Ministry of Justice (MoJ) is looking to appoint a supplier to support victims of a miscarriage of justice, through self-referral or from the Criminal Cases Review Commission (CCRC), providing advice and support to enable integration back into society, including social welfare advice in the areas of housing, debt, benefits and health. 

Grant ...",Early engagement,Open,Not Available,11 November 2022,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",Not Available,Not Available,28 October 2022,Not Available
Executive Search and Resourcing Services,Nottingham Trent University (NTU),"Nottingham Trent University is seeking a framework agreement of executive recruitment agencies to provide an efficient and cost-effective range of Executive Search and Resourcing Services to the University, as and when required.

The Executive Search and Resourcing Service will predominantly cover open ended (permanent) positions but may also ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",NG1 4FQ,1000000,Not Available,28 October 2022,Not Available
Strategic Grant - Prisoner Participation in the Arts (2023 - 2026),Ministry of Justice,"The Ministry of Justice (MoJ) is looking to appoint a supplier to coordinate activities around offenders' art and curating art exhibitions within prison establishments, immigration removal centres and the Youth Custody Service, involving and engaging offenders in custody in the art, as part of Her Majesty's Prison and Probation ...",Early engagement,Open,Not Available,11 November 2022,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",Not Available,Not Available,28 October 2022,Not Available
UK-Bahrain Space Science Programme - Opportunity,Foreign Commonwealth and Development Office,"Authority&apos;s objective is to find an implementer to deliver a project that supports Bahrain's National Space Science Agency (NSSA) to establish a Regional Space Research Centre, which will focus on developing studies to support sustainable development. In addition, the implementer would be required to organise a study visit to the UK for a ...",Opportunity,Open,Not Available,"11 November 2022,  5pm",Any region,0,Not Available,28 October 2022,Not Available
"Hearing Impairment Equipment (Servicing, Maintenance, Repairs & Upgrading Works)",SOUTHAMPTON CITY COUNCIL,"This bidding opportunity is for delivering a servicing and preventative maintenance service, undertaking repairs where necessary and carrying out upgrading works where required to existing hearing impairment equipment in around 202 No properties and around 26 No. communal areas owned and managed by Southampton City Council; to include associated ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",South East,720000,Not Available,24 June 2022,28 October 2022
GB-Shrewsbury: PMCV 022 - Shropshire Healthwatch and Independent NHS Complaints Advocacy,Shropshire Council,Shropshire Council wishes to commission a local Healthwatch and a local Independent NHS Complaints Advocacy Service (IHCAS). Healthwatch and IHCAS will be offered as an integrated service. Bidders may submit a tender which proposes a sub-contracting arrangement for IHCAS. Shropshire Council is looking for proposals which recognise the benefits of ...,Opportunity,Open,Not Available,"2 December 2022, 12pm",West Midlands,500000,1000000,28 October 2022,Not Available
LPS CAS - LED Road Lighting Lanterns - RFQ 15348094,Lancashire County Council,Supply and delivery of LED Road Lighting Lanterns,Opportunity,Open,Not Available,"28 November 2022, 10am",North West,1020000,Not Available,28 October 2022,Not Available
CA11213 - Stopsley Community Primary School,Stopsley Community Primary School,"Stopsley Community Primary School are looking to appoint a catering partner to provide and quality food service for their pupils

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11213.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA11213 as the reason...",Opportunity,Open,Not Available,"11 November 2022, 12pm",LU2 7UG,0,Not Available,7 October 2022,28 October 2022
Supply of 40 Solid Waste Drums,01847 803354,"DSRL has a requirement for the Manufacture, Inspection, Testing & Delivery of 40 Solid Waste Overpack Drums. The drums will be utilized for the over-packing and interim storage of Z6033 stainless steel Intermediate Level Waste (ILW) drums containing decommissioning Remote Handled ILW, in the Dounreay Cementation Plant (DCP) Complex.

A suitably ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",KW14 7TZ,120000,Not Available,28 October 2022,Not Available
ADC 5907 Adaptation to Eastwood Close & Willow Avenue Houses,Nottingham City Council,"Ashfield District Council is seeking to form a contract with one Contractor to undertake adaptation works to two domestic properties owned by Ashfield District Council (ADC).
The Contractor will be expected to complete the works, as quoted, in accordance with the specification/drawings and timescales contained within these documents.",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,110000,Not Available,28 October 2022,Not Available
Supported Employment Service tender opportunity with Salford City Council,Salford City Council,"The Department for Work and Pensions (DWP) has awarded over £7.5m grant funding to 24 County Councils and Unitary Authorities in England and Wales to take part in the Local Supported Employment (LSE) Initiative. 
The Initiative is aimed at helping adults with learning disabilities, autism, or both to move into competitive employment and receive ...",Opportunity,Open,Not Available,"27 November 2022,  2pm",United Kingdom,0,Not Available,28 October 2022,Not Available
Earth Observation for Groundwater Monitoring,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,Earth observation helps with obtaining an understanding the processes that affect and connect with groundwater in areas where traditional monitoring is not practicable. Earth observation integrated with GIS to analyse features of the earth could help improve understanding of groundwater. Using the physical properties of objects to emit or reflect ...,Opportunity,Open,Not Available,"18 November 2022,  5pm",United Kingdom,20000,50000,28 October 2022,Not Available
Spatial Audit of External Partners Habitat Creation/Restoration Activity,Natural England,"The work involves the collation of additional spatial information as GIS shape files relating to habitat creation and restoration from range of delivery mechanisms, organisations, projects and partnerships covering Nature Based Solutions including Natural Flood Management projects, Water Companies, Environment Agency habitat creation delivery and ...",Opportunity,Open,Not Available,"11 November 2022,  6pm",England,24999,Not Available,21 October 2022,28 October 2022
PRF1595 Fletton Avenue Recreation Ground - Refurbishment Works,Peterborough City Council,Refurbishment Refurbishment of Existing Play Area at Fletton Avenue Recreation Ground. Areas of play area surfacing and items of play equipment require refurbishment and/or replacement.,Opportunity,Open,Not Available,"21 November 2022, 12pm",United Kingdom,60000,Not Available,28 October 2022,Not Available
YOUTH ADVISORY GROUPS FOR D&C,South West Police Procurement Services,"In this case, the Chief Constable for Devon & Cornwall and the Isles of Scilly will establish / award the contract, for the facilitation / provision of ""Youth Advisory Groups (YAGs)""

The Customer invites tender returns for all aspects of this requirement as detailed herein

The Contract is intended to be awarded on 28th November 2022 with a ...",Opportunity,Open,Not Available,"24 November 2022,  5pm",Any region,0,64000,28 October 2022,Not Available
Supply of Communication Spares,Ministry of Defence,"The requirement is for the supply and delivery of the following:

a. Qty 10 x Cable Assemblies (NSN 5995992640839, Part No 795403)

Description: CABLE ASSY, S/P, ELECT, BRANCHED: ALL (5) BRANCHES TERMINATED WITH K30B0S-P0 5LFG0-5000IN LINE RECEPTACLES SIZE 0,0-KEY 5SKT; CONNECTED TO G81B0S-...

b. Qty 70 x Microphone Capacitors (NSN 5965998941717,...",Opportunity,Open,Not Available,"28 November 2022, 12pm",TF2 8JT,10000,Not Available,28 October 2022,Not Available
"Contract 64 Roller Shutters   - Planned Maintenance, Minor Installations and Responsive Repair Works 2023-2025",North Tyneside Council,"The Authority invites suitably experienced providers for the above Framework for skilled service to provide Planned Maintenance, Minor Installations and Responsive Repair Works.

This Framework Contract will ensure availability of skilled Contractors to deliver the Planned Service requiring differing values and complexities as required for the ...",Opportunity,Open,Not Available,"12 December 2022, 12pm",England,150000,Not Available,27 October 2022,27 October 2022
"Contract 63 Spa Equipment - Planned Maintenance, Minor Installations and Responsive Repair Works 2023-2025",North Tyneside Council,"The Authority invites suitably experienced providers for the above Framework for skilled service to provide Planned Maintenance, Minor Installations and Responsive Repair Works.

This Framework Contract will ensure availability of skilled Contractors to deliver the Planned Service requiring differing values and complexities as required for the ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,0,200000,27 October 2022,Not Available
"Contract 61 Pool Plant - Planned Maintenance, Minor Installations and Responsive Repair Works 2023-2025",North Tyneside Council,"The Authority invites suitably experienced providers for the above Framework for a skilled service to provide the works for fencing replacement including minor repairs.
This Framework Contract will ensure the availability of skilled Contractors to deliver the above Framework, requiring differing values and complexities as required during the ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,0,150000,27 October 2022,Not Available
Clifton Explore Library Learning Centre,City of York Council,The City of York Council has an opportunity for the Clifton Explore Library Learning Centre,Opportunity,Open,Not Available,"28 November 2022, 12pm",Yorkshire and the Humber,5186000,Not Available,27 October 2022,Not Available
Supported Discharge from Hospital Service.,Suffolk County Council,Suffolk County Council are currently out to tender for the provision of Supported Discharge from Hospital Service.  The aim of the Supported Discharge from Hospital Service ('the Service') is to provide people with support following an admission to Hospital or Accident and Emergency (A&E) or to an interim/D2A placement in one of our ...,Opportunity,Open,Not Available,"25 November 2022, 12pm",IP1 2BX,1300800,Not Available,27 October 2022,Not Available
Recruitment and Onboarding Platform Tender Broadacres,Broadacres Housing Association,"The purpose of this Invitation to Tender (ITT) document is to obtain competitive quotes for the supply of Recruitment services and Onboarding Platform provision at Broadacres Housing Association (BHA).
This should also encompass a fully rounded recruitment partner service. This contract will include the following service requirements and outputs: ...",Opportunity,Open,Not Available,"30 November 2022,  5pm","North East, Yorkshire and the Humber",140000,Not Available,27 October 2022,Not Available
Commercial Boiler Replacements,Optivo,Commercial Boiler Replacements in line with the specification at Elizabeth Prout Gardens and Heathcote House in the Midlands.,Opportunity,Open,Not Available,"17 November 2022, 12pm",West Midlands,180000,Not Available,27 October 2022,Not Available
"JHG Window Cleaning Contract (Lot 1 North, Lot 2 Tameside, Lot 3 Midlands)",Jigsaw Homes Group,"This service is currently managed by a mixture of in-house Operatives mixed with several contractors throughout the North & Tameside regions. It is our intention to outsource the whole of the Asset Management Communal Window Cleaning Service and split into two Lots. The first, Lot 1 - North which covers parts of Greater Manchester, Lancashire, ...",Opportunity,Open,Not Available,"2 December 2022, 12pm","North West, East Midlands",12000,Not Available,27 October 2022,Not Available
External Domestic Stairs and Balconies - North Shields 2023,North Tyneside Council,"The Authority requires a suitably qualified Metal Staircase and Balconies Contractor to enter into a Contract (the Contract). for External Domestic Stairs and Balconies - North Shields 2023 (the Works).
The Contract is anticipated to commence April 23 and will be for 12 months.
The Authority will be acting as Principal Contractor and the successful...",Opportunity,Open,Not Available,"18 November 2022, 11:59pm",England,777000,Not Available,27 October 2022,27 October 2022
Provision of Remedial Works for the Maintenance and Refurbishment of the Blackpool Steel Structure,Blackpool Council,"Blackpool Council is looking to appoint a suitably experienced and qualified remedial works contracting firm in order to undertake remedial works for the maintenance and refurbishment of the Blackpool Tower steel structure which consists of an initial remedial package of works as out lined in the tender documents.

It is anticipated that this work...",Opportunity,Open,Not Available,"11 November 2022, 12pm",England,0,Not Available,19 October 2022,27 October 2022
The Provision of Transport Services for the Movement of Fuels within the UK - Restricted ITT,Ministry of Defence,This notice is to signal the start of the Tendering process for the he provision of transport services for the collection and delivery of Aviation and Marine fuels within the mainland United Kingdom. The Authority has a requirement for the provision of transport services for the collection and delivery of Aviation and Marine fuels within the ...,Opportunity,Open,Not Available,"28 November 2022, 12pm","North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales",7713434,Not Available,18 August 2022,27 October 2022
Vehicle Telematics System,Merseytravel,"LCRCA are looking for a provider of a telematics system to assist us in our obligations to manage our fleet and drivers. We operate a diverse fleet of vehicles and heavy plant across the organisation to help us to operate, manage and deliver maintenance services to the whole of the LCRCA/ Merseytravel estate.
Our current fleet consists of 75 ...",Opportunity,Open,Not Available,"25 November 2022, 11am",North West,40000,Not Available,27 October 2022,Not Available
"Speech, Language and Communication - Universal and Early Targeted Service",Blackpool Council,"Blackpool Council is inviting tenders for the provision of a reliable and effective Speech and Language Therapy (SLT) support resource for Early Years Settings, Early Years Workforce and the provision of targeted interventions for children 0-5 with identified need is critical to ensuring that all Blackpool's Children have the correct support ...",Opportunity,Open,Not Available,"28 November 2022, 10:30am",England,400000,Not Available,27 October 2022,Not Available
"Supply, Delivery and Operation of an Observation Wheel in Torquay",Torbay Council,"Torquay has had a seasonal Observation Wheel attraction since 2015. This process is to procure a seasonal Observation Wheel from March 2024 for 5 years. The Operator has the option to provide a bar and food outlet onsite, associated with the Observation Wheel.  If a bar and or food outlet is provided the Operator must also provide suitable portable...",Opportunity,Open,Not Available,"30 November 2022, 12pm",England,400000,500000,27 October 2022,Not Available
"Homes England York Central ICP/IDNO - York, North Yorkshire",Homes England (the name adopted by the Homes and Communities Agency),"Homes England is seeking to appoint a Independent Connection Provider (ICP) and Independent Distribution Network Operator (IDNO) to provide, own and operate a new electrical network to provide power to the York Central Development.

The contract is estimated to end in 2026/27 - subject to programme of build-out, completion of novated agreements for...",Opportunity,Open,Not Available,"28 November 2022, 12pm",England,6000000,9700000,27 October 2022,Not Available
Rochdale Council - External design agency partner,Rochdale Metropolitan Borough Council,"The contract relates to the graphic design work required by the council and will be overseen by its communication team.

The work will include the production of designs for online and offline publications, including social media and website assets, print materials, outdoor and indoor advertising, video and animation.

Using the council's ...",Opportunity,Open,Not Available,"17 November 2022, 12pm",England,100000,Not Available,27 October 2022,27 October 2022
Social Value - Dynamic Purchasing System (DPS) for Social Enterprises Early Engagement,Highways England,"National Highways would like to engage with Social Enterprises, whose main aim is the social and professional integration of disabled or disadvantaged persons and that meet the 30% threshold stipulated in Regulation 20 of the Public Contract Regulations 2015, as part of its implementation of a Dynamic Purchasing System (DPS).   A DPS is unlike a ...",Early engagement,Open,Not Available,31 December 2022,Any region,Not Available,Not Available,27 October 2022,Not Available
Provision of Cleaning Services,Dorset Council,"The Council is seeking to work collaboratively with suitable and competent contractors to deliver a combined building and window cleaning service provision to Dorset Council, and Schools/Academies, which is fit for purpose, flexible and cost efficient. The cleaning of public toilets, offices, libraries, day centres and youth centres will also be ...",Opportunity,Open,Not Available,"28 November 2022,  2pm",England,17200000,Not Available,27 October 2022,27 October 2022
Tree Surveying Services,Sunderland City Council,"Please access documents via the NEPO Portal (www.nepo.org) project ref: DN639874

Tree Surveying Services for Sunderland City Council",Opportunity,Open,Not Available,"21 November 2022, 12pm",England,200000,Not Available,27 October 2022,Not Available
Asbestos Surveying Services,MOAT HOMES LIMITED,"Moat owns or manages around 21,000 properties across Kent, Essex, Sussex and London and is seeking a Service Provider to undertake asbestos surveying services to its occupied dwellings, void properties, sheltered accommodation, hostels, community centres, common and communal areas and some commercial buildings.

The Contract is for an initial ...",Opportunity,Open,Not Available,"28 November 2022, 11am","London, South East",225000,Not Available,17 October 2022,27 October 2022
Highways Minor Works Framework (Using Dayworks Rates),Blackburn with Darwen,"Blackburn with Darwen Borough Council has a requirement for the supply of Labour, usually with Transport and Equipment resources, to carry out highway maintenance, repair and improvement works at locations within the Council's geographic area. The services are to support the day to day work activities of the Council's Direct Labour ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,3600000,Not Available,26 October 2022,27 October 2022
Bus Interchange Security Service,Warrington Borough Council,"Warrington Borough Council invites providers to tender for the provision of manned security services to the Warrington Bus Interchange. The service will comprise of general security to the facility between the hours of 0500 and 2330 Monday to Saturday and 0900 and 1815 on Sundays and Public Holidays, excluding Christmas Day, Boxing Day and New ...",Opportunity,Open,Not Available,"28 November 2022, 11:59pm",England,630000,Not Available,27 October 2022,Not Available
"GB-Harlow, Essex: FIRE0583 Harlow Bay Floor Refurbishment","Essex Police, Fire and Crime Commissioner Fire and Rescue Authority","NOTE: This notice was updated on 27 October 2022 for the following reason: Deadline for Expression of Interest extended by two (2) weeks due to Covid-related resourcing pressures(Essex Police, Fire and Crime Commissioner Fire and Rescue Authority (""the Authority"") is conducting this procurement for the purpose of commissioning Bay Floor ...",Opportunity,Open,Not Available,"11 November 2022, 11:45am",East of England,50000,100000,18 October 2022,27 October 2022
Cleaning Services for Social Housing 2023-26,Folkestone and Hythe District Council,"Folkestone & Hythe District Council (""the Council"") wishes to select and appoint a suitable supplier to provide cleaning services for the communal areas of F&HDC's social housing stock and invites prospective suppliers to submit a Tender to meet the Council's requirements.

The contract is anticipated to start 2 July 2023 and continue for ...",Opportunity,Open,Not Available,"9 December 2022,  1pm",South East,1608000,Not Available,27 October 2022,Not Available
"Service and Maintenance of Refrigeration, Ventilation and Air Conditioning Equipment",Bournemouth University,"Bournemouth University (BU) is seeking formal tendered offers for on-site servicing and preventative maintenance of building air conditioning and ventilation equipment. The maintenance programme is to be carried out against an agreed schedule ensuring that during the 12 month period, maintenance is completed for all equipment.  These visits are for...",Opportunity,Open,Not Available,"14 November 2022, 12pm",BH1 3LH,162500,975000,26 September 2022,27 October 2022
Establishing high quality training provision for senior mental health leads in schools and colleges,Department For Education,"Following a successful first year of delivery, the Department for Education (DfE) is offering further grant funding so that two thirds of eligible state-funded schools and colleges in England can undertake senior mental health lead training before the end of the 2022 to 2023 financial year. This is part of a government commitment to offer this ...",Early engagement,Open,Not Available,31 March 2023,SW1P 3BT,Not Available,Not Available,15 September 2021,27 October 2022
CA11294 - ESNEFT1934 - To appoint a provider or Estate Valuation services,East Suffolk and North Essex NHS FT,"ESNEFT1934 - To appoint a provider or Estate Valuation services

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11294.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA11294 as the reason for registration. 

 Any queries please contact MultiQuote on ...",Opportunity,Open,Not Available,"21 November 2022, 12pm",IP4 5PD,0,Not Available,27 October 2022,Not Available
Regulatory Support Package for businesses supplying products to UK consumers through online platforms,Business Energy and Industrial Strategy,"The Office for Product Safety & Standards (OPSS) is part of the Department for Business Energy & Industrial Strategy (BEIS). It was created in January 2018 to deliver consumer protection and to support business confidence, productivity, and growth. We regulate a wide range of products with a focus on their safety and integrity. We work with local,...",Early engagement,Open,Not Available,15 November 2022,West Midlands,Not Available,Not Available,27 October 2022,Not Available
Provision of Gateway Community Navigators,Oxford Health NHS Foundation Trust,"Procurement for a 3rd party Provider to provide Community Navigator staff (at least 2 staff) to join the Bucks Adult Mental Health Gateway Service to support Adult Mental Health patients to navigate and engage with the voluntary community-based organisations to support their overall holistic wider needs.

The role of Community Navigators within ...",Opportunity,Open,Not Available,"24 November 2022,  4pm",South East,360000,Not Available,25 October 2022,27 October 2022
Mechanical & Electrical Works,NEUPC Ltd,"The North Eastern Universities Purchasing Consortia are working to establish a framework for Mechanical and Electrical works on a regional basis for their membership. 
      
      This PIN is issued to invite attendance at an online supplier engagement event to be held 3rd & 4th Nov. Registration is required for the attendance link at https:// ...",Opportunity,Open,Not Available,"3 February 2023, 12am",Any region,20000000,Not Available,27 October 2022,Not Available
enFrame CIC ICT Framework Phase 3 for procurement of Telephony and WAN for sponsors AET and TEFAT,enFrame CIC (Contracting Authority),"Phase 3 of the enFrame CIC ICT Framework run on behalf of Academies Enterprise Trust and The Elliot Foundation Academy Trust. Includes Lot 10 Telephony, and Lot 11 WAN provision. These lots have no sub-lots. For more information see www.enframe.ork.uk/ict-framework.",Opportunity,Open,Not Available,"21 November 2022,  5pm",Any region,100000,10000000,27 October 2022,27 October 2022
Library preparation and sequencing of RNA extracted from cowpea (Vigna unguiculata),Lancaster University,"The University is inviting tenders on the terms set out in this ITT for the provision of an RNA sequencing service, to include quality control checking of provided samples and library preparation for 1338 samples extracted from leaves of cowpea (Vigna unguiculata). The extracted RNA was obtained from 446 accessions with three biological replicates...",Opportunity,Open,Not Available,"16 November 2022, 10am",LA1 4YQ,80000,100000,27 October 2022,Not Available
NTCA Culture and Creative Zones Evaluation,North Tyneside Council,"North of Tyne Combined Authority (NTCA) seeks an experienced and creative provider to undertake an independent evaluation of NTCA's Culture and Creative Zones programme.
The chosen evaluator will assess the effectiveness and impact of the Zones, capture lessons to inform both the delivery of this programme and development of future ...",Opportunity,Open,Not Available,"24 November 2022, 12pm",England,60000,Not Available,27 October 2022,Not Available
22027 Cambridgeshire County Council - Asbestos Surveying & Consultancy Framework,Cambridgeshire County Council,"Cambridgeshire County Council (The Authority) wishes to appoint a framework of 6 contractors to provide Asbestos Surveying including in-house air monitoring, analytical services and Consultancy Services across a variety of properties.

To comply with this requirement the Authority is looking to set-up a framework agreement with 6 retained ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",United Kingdom,300000,500000,27 October 2022,Not Available
T963 Towers Refurbishment Phase Three - Rayleigh,UNIVERSITY OF ESSEX,"The University of Essex (the Authority) invites expressions of interest for participation in a tender process for the refurbishment of the third of six Towers, Rayleigh, at our Colchester campus. 
      The University of Essex has already completed refurbishment works of the first two Towers on the south side of campus and over the coming five ...",Opportunity,Open,Not Available,"5 December 2022, 12pm",CO4 3SQ,8000000,Not Available,27 October 2022,Not Available
